Method,Grams,Ratio,temp,C40
V60,12-16, 10 -  13,92-94,22-24
V60,12-16, 13 -  15,91-93,24-26
V60,12-16, 15 -  18,90-92,26-28
V60,12-16, 18 -  21,89-91,28-30
V60,16-21, 10 -  13,92-94,20-22
V60,16-21, 13 -  15,91-93,22-24
V60,16-21, 15 -  18,90-92,24-26
V60,16-21, 18 -  21,89-91,26-28
V60,21-26, 10 -  13,93-94,18-20
V60,21-26, 13 -  15,92-94,20-22
V60,21-26, 15 -  18,91-93,22-24
V60,21-26, 18 -  21,90-92,24-26
V60,26-31, 10 -  13,93-94,18-20
V60,26-31, 13 -  15,92-94,20-22
V60,26-31, 15 -  18,91-93,22-24
V60,26-31, 18 -  21,90-92,24-26
Kalita,12-16, 10 -  13,92-94,25-27
Kalita,12-16, 13 -  15,91-93,27-29
Kalita,12-16, 15 -  18,90-92,28-30
Kalita,12-16, 18 -  21,89-91,30-32
Kalita,16-21, 10 -  13,92-94,23-25
Kalita,16-21, 13 -  15,91-93,25-27
Kalita,16-21, 15 -  18,90-92,27-29
Kalita,16-21, 18 -  21,89-91,29-31
Kalita,21-26, 10 -  13,93-94,22-24
Kalita,21-26, 13 -  15,92-94,24-26
Kalita,21-26, 15 -  18,91-93,26-28
Kalita,21-26, 18 -  21,90-92,28-30
Kalita,26-31, 10 -  13,93-94,22-24
Kalita,26-31, 13 -  15,92-94,24-26
Kalita,26-31, 15 -  18,91-93,26-28
Kalita,26-31, 18 -  21,90-92,28-30
Origami,12-16, 10 -  13,91-93,24-26
Origami,12-16, 13 -  15,90-92,26-28
Origami,12-16, 15 -  18,89-91,28-30
Origami,12-16, 18 -  21,88-90,30-32
Origami,16-21, 10 -  13,91-93,22-24
Origami,16-21, 13 -  15,90-92,24-26
Origami,16-21, 15 -  18,89-91,26-28
Origami,16-21, 18 -  21,88-90,28-30
Origami,21-26, 10 -  13,92-94,20-22
Origami,21-26, 13 -  15,91-93,22-24
Origami,21-26, 15 -  18,90-92,24-26
Origami,21-26, 18 -  21,89-91,26-28
Origami,26-31, 10 -  13,92-94,20-22
Origami,26-31, 13 -  15,91-93,22-24
Origami,26-31, 15 -  18,90-92,24-26
Origami,26-31, 18 -  21,89-91,26-28
